Question,Answer A,Answer B,Answer C,Answer D,Correct Answer
What is one MORE than 15?,14,18,12,16,D
What is one LESS than 19?,13,12,15,18,D
What is one MORE than 12?,12,13,16,15,B
What is one MORE than 11?,11,14,12,15,C
What is one LESS than 12?,11,13,17,18,A
What is one MORE than 18?,18,12,19,14,c
What is one LESS than 16?,15,12,16,18,A
What is one MORE than 14?,12,15,17,13,B
What is one LESS than 17?,12,17,15,16,D
What is one LESS than 13?,15,18,12,14,C
What is one MORE than 16?,13,16,17,11,C
What is one LESS than 15?,14,19,18,12,A
What is one MORE than 17?,13,19,15,18,D
What is one LESS than 14?,12,18,13,16,C
