Question,Answer A,Answer B,Answer C,Answer D,Correct Answer
Find the BIGGEST Number.,2,5,3,6,D
Find the SMALLEST Number.,1,5,7,3,A
Find the BIGGEST Number.,5,8,2,0,B
Find the SMALLEST Number.,7,2,8,5,B
Find the BIGGEST Number.,8,4,1,7,A
Find the SMALLEST Number.,2,6,0,7,C
Find the BIGGEST Number.,3,1,8,5,C
Find the SMALLEST Number.,6,2,8,3,B
Find the BIGGEST Number.,5,8,3,1,B
Find the SMALLEST Number.,1,3,5,8,A
Find the BIGGEST Number.,0,9,4,1,B
Find the SMALLEST Number.,5,0,4,8,B
Find the BIGGEST Number.,3,4,8,2,C
Find the SMALLEST Number.,2,5,7,9,A
