Question,Answer A,Answer B,Answer C,Answer D,Correct Answer
Find the ODD Number.,3,2,4,6,A
Find the EVEN Number.,7,9,4,3,C
Find the ODD Number.,8,1,2,4,B
Find the EVEN Number.,5,3,1,8,D
Find the ODD Number.,8,6,2,5,D
Find the EVEN Number.,7,1,6,3,C
Find the ODD Number.,6,4,7,2,C
Find the EVEN Number.,5,2,1,9,B
Find the ODD Number.,9,6,8,2,A
Find the EVEN Number.,7,4,9,1,B
Find the ODD Number.,2,8,7,4,C
Find the EVEN Number.,1,2,5,7,B
Find the ODD Number.,4,2,6,7,D
Find the EVEN Number.,8,5,7,9,A
