Question,Answer A,Answer B,Answer C,Answer D,Correct Answer
2.png,3'o'clock,2'o'clock,7'o'clock,1'o'clock,B
3.png,3'o'clock,6'o'clock,2'o'clock,1'o'clock,A
6.png,8'o'clock,4'o'clock,11'o'clock,6'o'clock,D
7.png,12'o'clock,2'o'clock,7'o'clock,9'o'clock,C
1.png,18'o'clock,1'o'clock,2'o'clock,9'o'clock,B
11.png,5'o'clock,6'o'clock,10'o'clock,11'o'clock,D
5.png,2'o'clock,3'o'clock,5'o'clock,6'o'clock,C
9.png,9'o'clock,12'o'clock,10'o'clock,2'o'clock,A
12.png,4'o'clock,6'o'clock,10'o'clock,12'o'clock,D
10.png,2'o'clock,1'o'clock,11'o'clock,10'o'clock,D
4.png,4'o'clock,6'o'clock,7'o'clock,9'o'clock,A
8.png,5'o'clock,8'o'clock,1'o'clock,2'o'clock,B


